DATE,FLNAN
1939-01-01,402.5
1939-02-01,408.6
1939-03-01,413.1
1939-04-01,397.7
1939-05-01,379.3
1939-06-01,369.9
1939-07-01,362.2
1939-08-01,359.0
1939-09-01,367.5
1939-10-01,388.5
1939-11-01,406.8
1939-12-01,430.9
1940-01-01,427.7
1940-02-01,436.5
1940-03-01,437.0
1940-04-01,418.7
1940-05-01,401.6
1940-06-01,389.9
1940-07-01,385.1
1940-08-01,394.7
1940-09-01,410.1
1940-10-01,432.8
1940-11-01,466.4
1940-12-01,493.0
1941-01-01,495.2
1941-02-01,500.0
1941-03-01,487.2
1941-04-01,473.2
1941-05-01,456.3
1941-06-01,443.9
1941-07-01,445.1
1941-08-01,451.7
1941-09-01,460.8
1941-10-01,471.1
1941-11-01,492.1
1941-12-01,518.9
1942-01-01,517.7
1942-02-01,508.3
1942-03-01,505.6
1942-04-01,502.8
1942-05-01,499.7
1942-06-01,501.0
1942-07-01,502.3
1942-08-01,511.9
1942-09-01,517.1
1942-10-01,528.1
1942-11-01,541.5
1942-12-01,565.6
1943-01-01,563.8
1943-02-01,574.8
1943-03-01,583.3
1943-04-01,588.3
1943-05-01,588.1
1943-06-01,586.9
1943-07-01,583.5
1943-08-01,579.1
1943-09-01,576.9
1943-10-01,580.0
1943-11-01,590.3
1943-12-01,602.3
1944-01-01,601.6
1944-02-01,606.2
1944-03-01,605.6
1944-04-01,597.6
1944-05-01,583.0
1944-06-01,574.3
1944-07-01,561.9
1944-08-01,553.7
1944-09-01,556.8
1944-10-01,565.9
1944-11-01,582.5
1944-12-01,601.5
1945-01-01,595.3
1945-02-01,592.7
1945-03-01,590.0
1945-04-01,574.4
1945-05-01,562.1
1945-06-01,555.9
1945-07-01,542.0
1945-08-01,543.1
1945-09-01,530.6
1945-10-01,530.0
1945-11-01,549.1
1945-12-01,581.9
1946-01-01,596.5
1946-02-01,601.9
1946-03-01,600.7
1946-04-01,592.5
1946-05-01,571.3
1946-06-01,561.6
1946-07-01,556.1
1946-08-01,564.1
1946-09-01,578.5
1946-10-01,600.5
1946-11-01,632.9
1946-12-01,663.9
1947-01-01,678.7
1947-02-01,676.8
1947-03-01,672.9
1947-04-01,642.7
1947-05-01,621.2
1947-06-01,611.5
1947-07-01,593.4
1947-08-01,597.4
1947-09-01,609.5
1947-10-01,634.3
1947-11-01,661.3
1947-12-01,697.0
1948-01-01,705.8
1948-02-01,702.3
1948-03-01,693.0
1948-04-01,672.6
1948-05-01,639.9
1948-06-01,627.6
1948-07-01,612.1
1948-08-01,612.2
1948-09-01,625.9
1948-10-01,641.6
1948-11-01,665.4
1948-12-01,696.1
1949-01-01,703.0
1949-02-01,703.4
1949-03-01,700.7
1949-04-01,676.9
1949-05-01,637.8
1949-06-01,619.0
1949-07-01,603.8
1949-08-01,609.0
1949-09-01,621.8
1949-10-01,639.9
1949-11-01,664.8
1949-12-01,707.3
1950-01-01,711.1
1950-02-01,718.6
1950-03-01,717.7
1950-04-01,710.0
1950-05-01,682.3
1950-06-01,674.5
1950-07-01,662.4
1950-08-01,677.4
1950-09-01,689.1
1950-10-01,704.9
1950-11-01,730.8
1950-12-01,774.2
1951-01-01,778.5
1951-02-01,789.6
1951-03-01,790.3
1951-04-01,771.4
1951-05-01,741.1
1951-06-01,730.2
1951-07-01,713.6
1951-08-01,719.0
1951-09-01,728.8
1951-10-01,749.3
1951-11-01,779.9
1951-12-01,824.9
1952-01-01,829.5
1952-02-01,837.8
1952-03-01,838.1
1952-04-01,822.1
1952-05-01,788.7
1952-06-01,778.7
1952-07-01,763.3
1952-08-01,766.8
1952-09-01,778.5
1952-10-01,798.5
1952-11-01,828.0
1952-12-01,875.7
1953-01-01,883.1
1953-02-01,886.9
1953-03-01,880.9
1953-04-01,863.2
1953-05-01,831.3
1953-06-01,816.7
1953-07-01,800.0
1953-08-01,804.5
1953-09-01,813.4
1953-10-01,834.0
1953-11-01,867.6
1953-12-01,904.5
1954-01-01,909.2
1954-02-01,913.3
1954-03-01,907.4
1954-04-01,900.9
1954-05-01,865.2
1954-06-01,845.1
1954-07-01,832.5
1954-08-01,839.6
1954-09-01,851.8
1954-10-01,870.1
1954-11-01,905.3
1954-12-01,952.1
1955-01-01,961.1
1955-02-01,973.5
1955-03-01,980.2
1955-04-01,968.2
1955-05-01,940.9
1955-06-01,932.7
1955-07-01,919.9
1955-08-01,931.6
1955-09-01,947.5
1955-10-01,972.2
1955-11-01,1008.4
1955-12-01,1055.3
1956-01-01,1060.2
1956-02-01,1071.2
1956-03-01,1075.5
1956-04-01,1059.7
1956-05-01,1037.5
1956-06-01,1027.3
1956-07-01,1013.2
1956-08-01,1022.1
1956-09-01,1034.8
1956-10-01,1063.0
1956-11-01,1102.5
1956-12-01,1153.6
1957-01-01,1161.2
1957-02-01,1172.1
1957-03-01,1174.1
1957-04-01,1161.7
1957-05-01,1134.6
1957-06-01,1123.0
1957-07-01,1109.9
1957-08-01,1113.6
1957-09-01,1129.7
1957-10-01,1148.0
1957-11-01,1183.0
1957-12-01,1221.6
1958-01-01,1212.1
1958-02-01,1206.2
1958-03-01,1194.6
1958-04-01,1179.8
1958-05-01,1157.6
1958-06-01,1147.5
1958-07-01,1138.4
1958-08-01,1148.6
1958-09-01,1169.1
1958-10-01,1191.5
1958-11-01,1222.8
1958-12-01,1258.4
1959-01-01,1262.7
1959-02-01,1274.8
1959-03-01,1281.1
1959-04-01,1276.0
1959-05-01,1255.8
1959-06-01,1246.0
1959-07-01,1233.1
1959-08-01,1239.9
1959-09-01,1257.0
1959-10-01,1281.5
1959-11-01,1312.3
1959-12-01,1356.4
1960-01-01,1347.9
1960-02-01,1353.8
1960-03-01,1348.4
1960-04-01,1346.4
1960-05-01,1314.8
1960-06-01,1295.4
1960-07-01,1271.8
1960-08-01,1273.1
1960-09-01,1282.9
1960-10-01,1303.0
1960-11-01,1332.8
1960-12-01,1376.9
1961-01-01,1360.7
1961-02-01,1362.5
1961-03-01,1356.0
1961-04-01,1338.9
1961-05-01,1320.0
1961-06-01,1306.3
1961-07-01,1279.9
1961-08-01,1286.3
1961-09-01,1308.1
1961-10-01,1329.9
1961-11-01,1359.5
1961-12-01,1398.6
1962-01-01,1388.9
1962-02-01,1400.9
1962-03-01,1406.2
1962-04-01,1396.7
1962-05-01,1378.4
1962-06-01,1372.0
1962-07-01,1335.6
1962-08-01,1341.7
1962-09-01,1361.4
1962-10-01,1393.8
1962-11-01,1419.5
1962-12-01,1458.2
1963-01-01,1440.2
1963-02-01,1445.8
1963-03-01,1454.8
1963-04-01,1446.6
1963-05-01,1424.4
1963-06-01,1421.0
1963-07-01,1397.5
1963-08-01,1408.1
1963-09-01,1437.5
1963-10-01,1462.8
1963-11-01,1494.7
1963-12-01,1534.6
1964-01-01,1526.1
1964-02-01,1534.0
1964-03-01,1534.9
1964-04-01,1523.1
1964-05-01,1504.2
1964-06-01,1500.2
1964-07-01,1471.4
1964-08-01,1483.2
1964-09-01,1506.9
1964-10-01,1538.4
1964-11-01,1573.4
1964-12-01,1622.1
1965-01-01,1617.5
1965-02-01,1631.1
1965-03-01,1633.3
1965-04-01,1618.8
1965-05-01,1598.7
1965-06-01,1585.8
1965-07-01,1565.5
1965-08-01,1572.6
1965-09-01,1595.3
1965-10-01,1628.9
1965-11-01,1666.8
1965-12-01,1715.2
1966-01-01,1708.3
1966-02-01,1722.8
1966-03-01,1737.7
1966-04-01,1723.9
1966-05-01,1710.3
1966-06-01,1711.0
1966-07-01,1678.1
1966-08-01,1679.1
1966-09-01,1717.2
1966-10-01,1736.5
1966-11-01,1773.6
1966-12-01,1822.6
1967-01-01,1814.1
1967-02-01,1822.7
1967-03-01,1831.2
1967-04-01,1818.3
1967-05-01,1801.7
1967-06-01,1792.8
1967-07-01,1762.0
1967-08-01,1771.1
1967-09-01,1795.6
1967-10-01,1818.8
1967-11-01,1858.4
1967-12-01,1910.0
1968-01-01,1902.4
1968-02-01,1917.1
1968-03-01,1923.1
1968-04-01,1922.6
1968-05-01,1907.8
1968-06-01,1913.9
1968-07-01,1882.8
1968-08-01,1896.7
1968-09-01,1922.8
1968-10-01,1950.0
1968-11-01,1996.6
1968-12-01,2052.1
1969-01-01,2051.3
1969-02-01,2064.9
1969-03-01,2076.3
1969-04-01,2065.8
1969-05-01,2059.8
1969-06-01,2060.3
1969-07-01,2007.2
1969-08-01,2016.9
1969-09-01,2056.4
1969-10-01,2086.3
1969-11-01,2121.6
1969-12-01,2171.8
1970-01-01,2172.8
1970-02-01,2182.2
1970-03-01,2188.0
1970-04-01,2176.7
1970-05-01,2153.9
1970-06-01,2144.7
1970-07-01,2089.4
1970-08-01,2086.1
1970-09-01,2119.7
1970-10-01,2134.4
1970-11-01,2165.8
1970-12-01,2211.4
1971-01-01,2208.3
1971-02-01,2227.7
1971-03-01,2250.7
1971-04-01,2254.6
